annotator_id,value,sim_rating,id1,id2,pair_id
3747431,Poca similitud,3,8842,10052,8842_10052
3747441,Completamente diferente,1,5439,46366,5439_46366
3747427,Similitud básic,4,235,12971,235_12971
3747435,Similitud básic,4,31841,19929,31841_19929
3747427,Apenas existe similitud,2,37461,37416,37461_37416
3747427,Poca similitud,3,69790,22840,69790_22840
3747435,Poca similitud,3,3348,7291,3348_7291
3747431,Apenas existe similitud,2,10052,24450,10052_24450
3747431,Poca similitud,3,7727,3071,7727_3071
3747431,Completamente diferente,1,14251,25047,14251_25047
3747431,Apenas existe similitud,2,3071,2134,3071_2134
3747431,Apenas existe similitud,2,8851,30582,8851_30582
3747431,Apenas existe similitud,2,59899,12971,59899_12971
3747431,Similitud notable /faltan detalles,5,16872,36583,16872_36583
3747435,Completamente diferente,1,55093,31722,55093_31722
3747427,Apenas existe similitud,2,28616,30582,28616_30582
3747435,Poca similitud,3,69790,16872,69790_16872
3747431,Poca similitud,3,25639,36132,25639_36132
3747431,Apenas existe similitud,2,5439,35331,5439_35331
3747431,Apenas existe similitud,2,32204,11068,32204_11068
3747431,Similitud notable /faltan detalles,5,31722,1868,31722_1868
3747431,Similitud notable /faltan detalles,5,14251,31841,14251_31841
3747427,Completamente diferente,1,59899,25047,59899_25047
3747431,Poca similitud,3,30582,3071,30582_3071
3747431,Apenas existe similitud,2,62264,8719,62264_8719
3747427,Apenas existe similitud,2,15357,22822,15357_22822
3747427,Apenas existe similitud,2,37416,30582,37416_30582
3747431,Apenas existe similitud,2,1868,10052,1868_10052
3747431,Poca similitud,3,36132,11142,36132_11142
3747427,Apenas existe similitud,2,69790,16872,69790_16872
3747431,Apenas existe similitud,2,29094,37844,29094_37844
3747431,Apenas existe similitud,2,37485,36132,37485_36132
3747431,Apenas existe similitud,2,14975,34125,14975_34125
3747427,Poca similitud,3,5439,22840,5439_22840
3747441,Apenas existe similitud,2,59899,12971,59899_12971
3747441,Similitud básic,4,24369,55236,24369_55236
3747427,Completamente diferente,1,66730,38000,66730_38000
3747431,Apenas existe similitud,2,27790,69868,27790_69868
3747441,Poca similitud,3,28437,21227,28437_21227
3747431,Similitud básic,4,22840,14975,22840_14975
3747441,Poca similitud,3,10052,24450,10052_24450
3747431,Poca similitud,3,28616,59899,28616_59899
3747431,Poca similitud,3,37485,28616,37485_28616
3747427,Poca similitud,3,10842,69868,10842_69868
3747431,Apenas existe similitud,2,30582,12476,30582_12476
3747441,Completamente diferente,1,66730,15357,66730_15357
3747441,Completamente diferente,1,46366,6632,46366_6632
3747441,Poca similitud,3,28616,8842,28616_8842
3747431,Apenas existe similitud,2,35331,37194,35331_37194
3747441,Poca similitud,3,37485,27790,37485_27790
3747441,Similitud básic,4,36132,72281,36132_72281
3747441,Poca similitud,3,37485,11068,37485_11068
3747427,Similitud básic,4,37416,33088,37416_33088
3747427,Apenas existe similitud,2,37485,3071,37485_3071
3747441,Similitud notable /faltan detalles,5,76075,14975,76075_14975
3747441,Poca similitud,3,30582,21856,30582_21856
3747427,Poca similitud,3,76479,9975,76479_9975
3747441,Apenas existe similitud,2,36132,12476,36132_12476
3747441,Similitud básic,4,29094,24450,29094_24450
3747441,Poca similitud,3,29094,14251,29094_14251
3747427,Apenas existe similitud,2,72281,11142,72281_11142
3747441,Poca similitud,3,21227,7727,21227_7727
3747441,Similitud básic,4,8719,14975,8719_14975
3747441,Apenas existe similitud,2,35331,72281,35331_72281
3747441,Poca similitud,3,34119,10052,34119_10052
3747427,Completamente diferente,1,26165,55236,26165_55236
3747427,Completamente diferente,1,48054,46366,48054_46366
3747427,Apenas existe similitud,2,27446,52438,27446_52438
3747441,Apenas existe similitud,2,37461,12476,37461_12476
3747441,Poca similitud,3,5088,21856,5088_21856
3747441,Similitud básic,4,14975,36583,14975_36583
3747441,Completamente diferente,1,5088,34125,5088_34125
3747441,Apenas existe similitud,2,29094,8863,29094_8863
3747441,Poca similitud,3,3348,7727,3348_7727
3747441,Completamente diferente,1,25047,36583,25047_36583
3747441,Completamente diferente,1,33088,46366,33088_46366
3747441,Completamente diferente,1,66730,35331,66730_35331
3747441,Apenas existe similitud,2,14975,34125,14975_34125
3747441,Similitud notable /faltan detalles,5,31841,11142,31841_11142
3747441,Apenas existe similitud,2,30582,48594,30582_48594
3747441,Completamente diferente,1,24369,29590,24369_29590
3747441,Poca similitud,3,22822,8719,22822_8719
3747441,Completamente diferente,1,46366,8863,46366_8863
3747441,Apenas existe similitud,2,14251,76075,14251_76075
3747441,Apenas existe similitud,2,32204,15357,32204_15357
3747427,Similitud notable /faltan detalles,5,37416,1868,37416_1868
3747427,Completamente diferente,1,3348,34125,3348_34125
3747427,Similitud básic,4,33088,62264,33088_62264
3747427,Completamente diferente,1,76479,59899,76479_59899
3747427,Apenas existe similitud,2,8842,8863,8842_8863
3747427,Apenas existe similitud,2,34119,5088,34119_5088
3747427,Completamente diferente,1,48054,25047,48054_25047
3747431,Apenas existe similitud,2,16987,25047,16987_25047
3747431,Poca similitud,3,32204,7291,32204_7291
3747431,Apenas existe similitud,2,1868,12476,1868_12476
3747431,Apenas existe similitud,2,21856,55236,21856_55236
3747431,Apenas existe similitud,2,76075,37844,76075_37844
3747435,Poca similitud,3,5439,37741,5439_37741
3747435,Similitud notable /faltan detalles,5,27790,14975,27790_14975
3747435,Poca similitud,3,24369,5088,24369_5088
3747435,Poca similitud,3,28616,5088,28616_5088
3747435,Similitud notable /faltan detalles,5,21856,48594,21856_48594
3747435,Completamente diferente,1,46366,8863,46366_8863
3747429,Completamente diferente,1,34119,46366,34119_46366
3747429,Poca similitud,3,5439,8863,5439_8863
3747469,Apenas existe similitud,2,37485,15357,37485_15357
3747429,Completamente diferente,1,11142,69868,11142_69868
3747429,Completamente diferente,1,37485,5088,37485_5088
3747472,Apenas existe similitud,2,29094,30582,29094_30582
3747429,Apenas existe similitud,2,16987,2134,16987_2134
3747429,Completamente diferente,1,27790,46366,27790_46366
3747435,Apenas existe similitud,2,37416,24369,37416_24369
3747435,Completamente diferente,1,66730,22840,66730_22840
3747429,Completamente diferente,1,29094,59899,29094_59899
3747429,Similitud básic,4,235,52438,235_52438
3747429,Completamente diferente,1,37485,25047,37485_25047
3747429,Completamente diferente,1,34125,2134,34125_2134
3747435,Apenas existe similitud,2,76075,7291,76075_7291
3747435,Completamente diferente,1,46366,2134,46366_2134
3747435,Apenas existe similitud,2,36132,7291,36132_7291
3747427,Completamente diferente,1,37844,36132,37844_36132
3747469,Apenas existe similitud,2,3348,7291,3348_7291
3747427,Completamente diferente,1,66730,22840,66730_22840
3747469,Apenas existe similitud,2,69790,37416,69790_37416
3747469,Completamente diferente,1,22840,34125,22840_34125
3747469,Completamente diferente,1,66730,22822,66730_22822
3747435,Completamente diferente,1,29094,46366,29094_46366
3747427,Poca similitud,3,62264,11142,62264_11142
3747427,Completamente diferente,1,27790,46366,27790_46366
3747427,Apenas existe similitud,2,69790,38000,69790_38000
3747427,Completamente diferente,1,9975,6632,9975_6632
3747427,Completamente diferente,1,3348,69868,3348_69868
3747427,Poca similitud,3,25639,22822,25639_22822
3747427,Apenas existe similitud,2,29094,36583,29094_36583
3747427,Completamente diferente,1,16987,59899,16987_59899
3747427,Apenas existe similitud,2,36132,12476,36132_12476
3747427,Completamente diferente,1,29590,2134,29590_2134
3747427,Apenas existe similitud,2,33902,14975,33902_14975
3747427,Apenas existe similitud,2,36132,69868,36132_69868
3747427,Apenas existe similitud,2,59899,12971,59899_12971
3747488,Apenas existe similitud,2,28437,37194,28437_37194
3747469,Completamente diferente,1,16987,59899,16987_59899
3747469,Apenas existe similitud,2,21856,12971,21856_12971
3747431,Apenas existe similitud,2,48054,55236,48054_55236
3747431,Apenas existe similitud,2,5088,15357,5088_15357
3747431,Apenas existe similitud,2,31841,22840,31841_22840
3747431,Apenas existe similitud,2,21856,12971,21856_12971
3747431,Apenas existe similitud,2,10842,69868,10842_69868
3747431,Apenas existe similitud,2,11068,6632,11068_6632
3747431,Apenas existe similitud,2,33902,14975,33902_14975
3747431,Apenas existe similitud,2,37485,76075,37485_76075
3747431,Apenas existe similitud,2,21227,15357,21227_15357
3747431,Apenas existe similitud,2,15357,14975,15357_14975
3747469,Apenas existe similitud,2,35331,33088,35331_33088
3747435,Completamente diferente,1,37844,29590,37844_29590
3747435,Completamente diferente,1,31722,46366,31722_46366
3747469,Similitud básic,4,24369,55236,24369_55236
3747469,Apenas existe similitud,2,28437,21227,28437_21227
3747469,Poca similitud,3,10052,10842,10052_10842
3747469,Apenas existe similitud,2,30582,24450,30582_24450
3747527,Apenas existe similitud,2,29094,8863,29094_8863
3747469,Completamente diferente,1,15357,34125,15357_34125
3747527,Apenas existe similitud,2,8851,33088,8851_33088
3747527,Poca similitud,3,24369,2134,24369_2134
3747469,Apenas existe similitud,2,31722,21227,31722_21227
3747527,Completamente diferente,1,33088,6632,33088_6632
3747527,Poca similitud,3,37461,72281,37461_72281
3747527,Completamente diferente,1,8851,46366,8851_46366
3747527,Completamente diferente,1,37485,5088,37485_5088
3747527,Apenas existe similitud,2,37416,37194,37416_37194
3747527,Poca similitud,3,37416,24369,37416_24369
3747527,Apenas existe similitud,2,22840,38000,22840_38000
3747527,Completamente diferente,1,66730,33088,66730_33088
3747527,Poca similitud,3,28616,36132,28616_36132
3747533,Completamente diferente,1,22840,29590,22840_29590
3747527,Apenas existe similitud,2,34119,5088,34119_5088
3747435,Completamente diferente,1,34125,25047,34125_25047
3747435,Completamente diferente,1,34125,11142,34125_11142
3747527,Poca similitud,3,25639,36132,25639_36132
3747435,Completamente diferente,1,28616,29590,28616_29590
3747435,Poca similitud,3,37461,14251,37461_14251
3747527,Poca similitud,3,28437,14975,28437_14975
3747527,Poca similitud,3,8719,14975,8719_14975
3747527,Completamente diferente,1,66730,37461,66730_37461
3747533,Poca similitud,3,36132,72281,36132_72281
3747469,Completamente diferente,1,55093,35331,55093_35331
3747527,Poca similitud,3,29094,8719,29094_8719
3747533,Completamente diferente,1,66730,27790,66730_27790
3747469,Poca similitud,3,8842,25639,8842_25639
3747537,Apenas existe similitud,2,16872,25047,16872_25047
3747469,Completamente diferente,1,29590,12476,29590_12476
3747469,Completamente diferente,1,31841,21856,31841_21856
3747527,Apenas existe similitud,2,29094,10052,29094_10052
3747469,Apenas existe similitud,2,28437,25639,28437_25639
3747469,Completamente diferente,1,31841,10842,31841_10842
3747469,Completamente diferente,1,46366,55236,46366_55236
3747537,Poca similitud,3,37461,59899,37461_59899
3747533,Apenas existe similitud,2,31722,37194,31722_37194
3747469,Apenas existe similitud,2,35331,12971,35331_12971
3747469,Completamente diferente,1,8842,29590,8842_29590
3747469,Poca similitud,3,12971,14975,12971_14975
3747469,Apenas existe similitud,2,31841,7291,31841_7291
3747537,Poca similitud,3,35331,8719,35331_8719
3747469,Completamente diferente,1,3348,34125,3348_34125
3747469,Poca similitud,3,72281,11142,72281_11142
3747469,Apenas existe similitud,2,28616,34119,28616_34119
3747469,Completamente diferente,1,66730,27790,66730_27790
3747527,Completamente diferente,1,37485,55093,37485_55093
3747469,Similitud notable /faltan detalles,5,25639,16872,25639_16872
3747469,Apenas existe similitud,2,5088,72281,5088_72281
3747469,Poca similitud,3,37416,36132,37416_36132
3747469,Apenas existe similitud,2,48054,21227,48054_21227
3747537,Completamente diferente,1,37844,29590,37844_29590
3747537,Completamente diferente,1,66730,62264,66730_62264
3747537,Completamente diferente,1,46366,8719,46366_8719
3747469,Completamente diferente,1,36132,46366,36132_46366
3747537,Poca similitud,3,48054,8719,48054_8719
3747469,Poca similitud,3,30582,15357,30582_15357
3747469,Apenas existe similitud,2,37485,19929,37485_19929
3747469,Poca similitud,3,25639,14975,25639_14975
3747469,Poca similitud,3,7727,3071,7727_3071
3747469,Poca similitud,3,31841,12971,31841_12971
3747431,Completamente diferente,1,46366,9975,46366_9975
3747469,Apenas existe similitud,2,3071,24450,3071_24450
3747469,Apenas existe similitud,2,28437,37194,28437_37194
3747469,Poca similitud,3,7291,24450,7291_24450
3747469,Apenas existe similitud,2,28616,32204,28616_32204
3747431,Similitud básic,4,24369,55236,24369_55236
3747469,Apenas existe similitud,2,37485,8842,37485_8842
3747431,Poca similitud,3,9975,22822,9975_22822
3747469,Apenas existe similitud,2,29094,8863,29094_8863
3747431,Poca similitud,3,24369,19929,24369_19929
3747469,Completamente diferente,1,48054,25047,48054_25047
3747469,Apenas existe similitud,2,1868,12476,1868_12476
3747469,Completamente diferente,1,29590,12971,29590_12971
3747469,Completamente diferente,1,24369,46366,24369_46366
3747431,Poca similitud,3,76075,11142,76075_11142
3747431,Poca similitud,3,26165,2134,26165_2134
3747469,Apenas existe similitud,2,24450,55236,24450_55236
3747431,Similitud básic,4,37416,12971,37416_12971
3747469,Apenas existe similitud,2,31841,8842,31841_8842
3747469,Apenas existe similitud,2,16987,25047,16987_25047
3747431,Poca similitud,3,5439,19929,5439_19929
3747431,Apenas existe similitud,2,76479,15357,76479_15357
3747431,Apenas existe similitud,2,16987,22840,16987_22840
3747431,Apenas existe similitud,2,34119,5088,34119_5088
3747431,Apenas existe similitud,2,3348,22840,3348_22840
3747431,Apenas existe similitud,2,37416,38000,37416_38000
3747472,Similitud notable /faltan detalles,5,16872,36583,16872_36583
3747472,Completamente diferente,1,29094,33088,29094_33088
3747488,Apenas existe similitud,2,14975,34125,14975_34125
3747488,Completamente diferente,1,11142,69868,11142_69868
3747488,Poca similitud,3,27790,2134,27790_2134
3747488,Similitud básic,4,33088,8842,33088_8842
3747488,Completamente diferente,1,37416,26165,37416_26165
3747980,Completamente diferente,1,29590,9975,29590_9975
3747980,Apenas existe similitud,2,37416,7727,37416_7727
3747980,Poca similitud,3,37485,28616,37485_28616
3747980,Poca similitud,3,29094,12971,29094_12971
3747980,Completamente diferente,1,55093,37194,55093_37194
3747985,Completamente diferente,1,34119,26165,34119_26165
3747985,Similitud básic,4,37416,12971,37416_12971
3747985,Poca similitud,3,48054,21227,48054_21227
3747985,Poca similitud,3,30582,12971,30582_12971
3747985,Completamente diferente,1,5439,6632,5439_6632
3747985,Apenas existe similitud,2,29094,14251,29094_14251
3747980,Apenas existe similitud,2,24369,10052,24369_10052
3747985,Poca similitud,3,48054,8842,48054_8842
3747985,Apenas existe similitud,2,19354,22822,19354_22822
3747985,Apenas existe similitud,2,62264,38000,62264_38000
3747985,Apenas existe similitud,2,37461,16872,37461_16872
3747980,Completamente diferente,1,37844,59899,37844_59899
3747985,Completamente diferente,1,9975,6632,9975_6632
3747985,Similitud básic,4,7291,14975,7291_14975
3747985,Completamente diferente,1,16872,6632,16872_6632
3747985,Apenas existe similitud,2,31722,21856,31722_21856
3747985,Similitud básic,4,37416,33088,37416_33088
3747985,Apenas existe similitud,2,48054,235,48054_235
3747488,Poca similitud,3,37485,22840,37485_22840
3747488,Completamente diferente,1,5439,55093,5439_55093
3747980,Similitud básic,4,9975,24450,9975_24450
3747488,Apenas existe similitud,2,15357,8719,15357_8719
3747488,Similitud básic,4,29094,24450,29094_24450
3747488,Apenas existe similitud,2,62264,9975,62264_9975
3747424,Completamente diferente,1,28616,48594,28616_48594
3747424,Completamente diferente,1,55093,10842,55093_10842
3747424,Completamente diferente,1,3071,27446,3071_27446
3747424,Completamente diferente,1,6632,69868,6632_69868
3747980,Apenas existe similitud,2,48054,235,48054_235
3747980,Apenas existe similitud,2,34119,7727,34119_7727
3747488,Poca similitud,3,3348,22840,3348_22840
3747488,Similitud básic,4,31841,19929,31841_19929
3747488,Poca similitud,3,5088,21856,5088_21856
3747488,Similitud básic,4,30582,19354,30582_19354
3747488,Similitud básic,4,7291,14975,7291_14975
3747488,Poca similitud,3,15357,14975,15357_14975
3747488,Completamente diferente,1,66730,46366,66730_46366
3747488,Similitud básic,4,21856,48594,21856_48594
3747488,Apenas existe similitud,2,28616,5088,28616_5088
3747488,Completamente diferente,1,66730,7727,66730_7727
3747488,Poca similitud,3,62264,10052,62264_10052
3747424,Completamente diferente,1,1868,6632,1868_6632
3747424,Completamente diferente,1,66730,55093,66730_55093
3747424,Completamente diferente,1,7291,12476,7291_12476
3747424,Completamente diferente,1,62264,21227,62264_21227
3747424,Completamente diferente,1,37844,59899,37844_59899
3747424,Completamente diferente,1,35331,16872,35331_16872
3747424,Completamente diferente,1,48594,25047,48594_25047
3747424,Completamente diferente,1,10052,25047,10052_25047
3747424,Completamente diferente,1,25639,15357,25639_15357
3747424,Completamente diferente,1,26165,48594,26165_48594
3747424,Completamente diferente,1,31841,21856,31841_21856
3747424,Poca similitud,3,22840,24450,22840_24450
3747424,Completamente diferente,1,55093,21856,55093_21856
3747424,Completamente diferente,1,55093,15357,55093_15357
3747424,Completamente diferente,1,25047,36583,25047_36583
3747424,Completamente diferente,1,46366,14975,46366_14975
3747424,Completamente diferente,1,59899,46366,59899_46366
3747424,Completamente diferente,1,25639,12476,25639_12476
3747424,Apenas existe similitud,2,31841,22840,31841_22840
3747424,Completamente diferente,1,24450,6632,24450_6632
3747980,Apenas existe similitud,2,76075,22840,76075_22840
3747980,Completamente diferente,1,21227,26165,21227_26165
3747980,Apenas existe similitud,2,28437,15357,28437_15357
3747488,Poca similitud,3,235,19354,235_19354
3747488,Poca similitud,3,36132,11142,36132_11142
3747980,Completamente diferente,1,14251,29590,14251_29590
3747537,Poca similitud,3,37461,19929,37461_19929
3747537,Similitud notable /faltan detalles,5,37416,8842,37416_8842
3747980,Completamente diferente,1,55093,31722,55093_31722
3747469,Poca similitud,3,32204,7291,32204_7291
3747469,Completamente diferente,1,66730,11142,66730_11142
3747469,Completamente diferente,1,28616,34125,28616_34125
3747469,Poca similitud,3,36132,72281,36132_72281
3747469,Completamente diferente,1,69790,66730,69790_66730
3747469,Completamente diferente,1,16987,12971,16987_12971
3747469,Completamente diferente,1,29094,59899,29094_59899
3747469,Poca similitud,3,37741,38000,37741_38000
3747469,Similitud básic,4,34125,6632,34125_6632
3747469,Completamente diferente,1,1868,46366,1868_46366
3747469,Poca similitud,3,8842,14975,8842_14975
3747469,Completamente diferente,1,235,37194,235_37194
3747469,Completamente diferente,1,35331,31841,35331_31841
3747469,Apenas existe similitud,2,235,24450,235_24450
3747469,Apenas existe similitud,2,27790,22840,27790_22840
3747469,Apenas existe similitud,2,22840,11142,22840_11142
3747469,Completamente diferente,1,28616,46366,28616_46366
3747469,Apenas existe similitud,2,33902,15357,33902_15357
3747469,Completamente diferente,1,46366,11142,46366_11142
3747469,Apenas existe similitud,2,35331,55236,35331_55236
3747469,Completamente diferente,1,12971,6632,12971_6632
3747469,Apenas existe similitud,2,14251,25639,14251_25639
3747469,Poca similitud,3,31841,22840,31841_22840
3747469,Apenas existe similitud,2,69790,11142,69790_11142
3748055,Poca similitud,3,35331,33088,35331_33088
3748055,Apenas existe similitud,2,8719,12476,8719_12476
3748055,Poca similitud,3,28616,30582,28616_30582
3748055,Completamente diferente,1,1868,26165,1868_26165
3748055,Completamente diferente,1,24450,25047,24450_25047
3748055,Completamente diferente,1,46366,24450,46366_24450
3748055,Similitud básic,4,37741,11068,37741_11068
3748055,Completamente diferente,1,8851,34125,8851_34125
3748055,Completamente diferente,1,55093,26165,55093_26165
3748055,Completamente diferente,1,66730,31722,66730_31722
3748055,Apenas existe similitud,2,5088,72281,5088_72281
3748055,Poca similitud,3,62264,15357,62264_15357
3748055,Poca similitud,3,36132,8719,36132_8719
3748055,Poca similitud,3,33902,10052,33902_10052
3748055,Poca similitud,3,37485,16872,37485_16872
3748055,Poca similitud,3,37485,9975,37485_9975
3748055,Completamente diferente,1,66730,3348,66730_3348
3748055,Apenas existe similitud,2,37485,235,37485_235
3748055,Poca similitud,3,11068,12476,11068_12476
3748055,Apenas existe similitud,2,28437,76479,28437_76479
3748055,Completamente diferente,1,24450,34125,24450_34125
3748055,Completamente diferente,1,48594,25047,48594_25047
3748055,Completamente diferente,1,34119,26165,34119_26165
3748055,Completamente diferente,1,29590,8719,29590_8719
3748055,Completamente diferente,1,8851,29590,8851_29590
3748055,Completamente diferente,1,34119,29590,34119_29590
3748055,Poca similitud,3,19354,7291,19354_7291
3748055,Similitud notable /faltan detalles,5,14251,19929,14251_19929
3748055,Completamente diferente,1,76479,19929,76479_19929
3748055,Apenas existe similitud,2,31841,3071,31841_3071
3748055,Similitud notable /faltan detalles,5,235,52438,235_52438
3748055,Completamente diferente,1,6632,25047,6632_25047
3748055,Poca similitud,3,62264,8719,62264_8719
3748055,Completamente diferente,1,66730,27790,66730_27790
3748055,Completamente diferente,1,7291,29590,7291_29590
3748055,Apenas existe similitud,2,22822,48594,22822_48594
3748055,Completamente diferente,1,46366,11142,46366_11142
3748055,Poca similitud,3,37741,38000,37741_38000
3748055,Apenas existe similitud,2,27446,10842,27446_10842
3748055,Poca similitud,3,37844,21227,37844_21227
3748055,Apenas existe similitud,2,5439,14251,5439_14251
3748055,Poca similitud,3,21856,36583,21856_36583
3748055,Completamente diferente,1,37461,29590,37461_29590
3748055,Completamente diferente,1,46366,7291,46366_7291
3748055,Completamente diferente,1,16872,46366,16872_46366
3748055,Poca similitud,3,27446,12971,27446_12971
3748055,Poca similitud,3,12971,14975,12971_14975
3748055,Apenas existe similitud,2,35331,6632,35331_6632
3747431,Apenas existe similitud,2,72281,21856,72281_21856
3747431,Poca similitud,3,35331,11142,35331_11142
3747431,Apenas existe similitud,2,32204,22822,32204_22822
3747431,Apenas existe similitud,2,34119,27790,34119_27790
3747431,Apenas existe similitud,2,8719,12476,8719_12476
3747431,Apenas existe similitud,2,69790,11142,69790_11142
3747431,Poca similitud,3,31722,19354,31722_19354
3747431,Apenas existe similitud,2,28437,48054,28437_48054
3747431,Apenas existe similitud,2,37416,37844,37416_37844
3748065,Poca similitud,3,37485,19354,37485_19354
3747431,Apenas existe similitud,2,25639,10052,25639_10052
